customer_id,first_name,last_name,email,phone,city,state,country,date_of_birth,registration_date,loyalty_level
C0000001,Danielle,Johnson,john21@example.net,9600133890,Bengaluru,Tamil Nadu,India,1990-02-08,2023-06-06,Silver
C0000002,Shane,Ramirez,blakeerik@example.com,4235116155,Mumbai,Maharashtra,India,1992-10-27,2026-02-12,Bronze
C0000003,David,Nielsen,arnoldmaria@example.net,9310341316,Bengaluru,Tamil Nadu,India,1972-08-16,2024-09-14,Bronze
C0000004,Michael,Santiago,lynchgeorge@example.net,2764835030,Kolkata,Tamil Nadu,India,1966-01-22,2023-05-08,Bronze
C0000005,Robin,Bradley,jason76@example.net,2423884969,Mumbai,Maharashtra,India,1970-12-21,2025-11-21,Silver
C0000006,Trevor,Campos,hernandezernest@example.net,9166978480,Chennai,Tamil Nadu,India,2005-03-05,2024-06-12,Bronze
C0000007,Daniel,Graham,usmith@example.net,8281489325,Coimbatore,West Bengal,India,1961-08-05,2024-04-24,Bronze
C0000008,Tracy,Rodriguez,natasha43@example.org,9117182278,Jaipur,Delhi,India,2002-11-01,2025-02-25,Gold
C0000009,Tamara,Hickman,jenniferross@example.net,7871331509,Chennai,Telangana,India,1976-07-17,2021-08-13,Silver
C0000010,Chad,Welch,carlosjohnson@example.com,8347382997,Pune,Delhi,India,1974-07-07,2022-05-11,Bronze
C0000011,Collin,Jordan,ujenkins@example.org,0651333872,Pune,Karnataka,India,1993-01-14,2023-09-06,Bronze
C0000012,Nancy,Jones,williamsyvette@example.org,3267736026,Bengaluru,Maharashtra,India,1992-07-09,2023-12-25,Gold
C0000013,Rodney,Bernard,smoore@example.org,9805009788,Jaipur,Delhi,India,1967-01-03,2023-02-19,Gold
C0000014,Casey,Jones,richarddavid@example.net,9909169985,Ahmedabad,Tamil Nadu,India,1977-10-19,2023-10-25,Bronze
C0000015,Randy,Powers,stephen10@example.com,1838425135,Kolkata,Karnataka,India,1998-07-10,2024-02-16,Silver
C0000016,Cheryl,Archer,contrerasangela@example.net,2411824493,Jaipur,Maharashtra,India,1995-12-14,2025-09-16,Silver
C0000017,John,Odonnell,davisrodney@example.com,0524278680,Bengaluru,Tamil Nadu,India,1998-09-07,2021-11-10,Silver
C0000018,Mary,Aguilar,russellwilliams@example.com,5331586923,Delhi,Karnataka,India,1963-03-30,2023-01-30,Gold
C0000019,Jill,Cook,vpham@example.org,2160733754,Bengaluru,West Bengal,India,2006-06-22,2023-03-14,Bronze
C0000020,Raymond,Ramirez,rasmussenjoshua@example.net,8501429401,Pune,Telangana,India,1982-11-26,2025-04-07,Bronze
C0000021,Catherine,Dixon,mlam@example.com,6088356159,Mumbai,Delhi,India,1996-01-25,2024-03-08,Silver
C0000022,Elizabeth,Nguyen,angela36@example.net,2994680443,Bengaluru,Rajasthan,India,2006-02-09,2024-04-18,Silver
C0000023,Steven,Ramos,williamleon@example.net,1489513433,Coimbatore,Maharashtra,India,1978-03-21,2025-08-06,Bronze
C0000024,Cheryl,Mack,operry@example.net,6763201632,Kolkata,Delhi,India,1999-06-28,2023-09-04,Platinum
C0000025,Samantha,Martinez,lauriecontreras@example.net,7986872774,Coimbatore,Maharashtra,India,1994-07-14,2023-08-04,Silver
C0000026,Joshua,Jones,jimmy55@example.net,2236231665,Chennai,Maharashtra,India,1965-10-17,2023-04-25,Gold
C0000027,Marissa,Price,gateskathy@example.com,0546688937,Pune,West Bengal,India,1994-08-09,2021-10-20,Bronze
C0000028,Paul,Caldwell,dramsey@example.org,6990162720,Mumbai,Rajasthan,India,1975-12-17,2025-06-03,Gold
C0000029,Mark,Juarez,aramirez@example.com,7080531003,Pune,Maharashtra,India,1971-12-05,2023-08-02,Silver
C0000030,David,Caldwell,stevenscott@example.com,9912419049,Kolkata,Gujarat,India,1966-09-23,2023-08-15,Bronze
C0000031,Curtis,Barton,hoganashlee@example.org,8651850671,Hyderabad,Maharashtra,India,1971-12-20,2025-04-05,Silver
C0000032,Gregory,Boyd,christina87@example.com,9453147379,Coimbatore,Delhi,India,1963-07-06,2025-10-04,Silver
C0000033,Melissa,White,michaelgreen@example.com,8083136783,Kolkata,Rajasthan,India,1962-09-24,2022-05-07,Bronze
C0000034,Kelly,Sullivan,kevinperkins@example.com,6855744431,Mumbai,Telangana,India,1998-01-08,2023-02-17,Silver
C0000035,James,Rodgers,jenny89@example.com,3435240824,Bengaluru,Tamil Nadu,India,1981-06-09,2022-08-18,Gold
C0000036,Dana,Mullins,,7520471167,Hyderabad,Telangana,India,1971-11-19,2022-10-28,Gold
C0000037,Lisa,Avery,mcknightdavid@example.com,8677496499,Kolkata,Rajasthan,India,1975-09-12,2023-05-08,Bronze
C0000038,Joseph,Miller,glennjones@example.org,7974034471,Kolkata,Rajasthan,India,2006-07-20,2023-03-28,Platinum
